
WARNING ⚠️ 
Inference results will accumulate in RAM unless `stream=True` is passed, which can cause out-of-memory errors for large
sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 85/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 3 persons, 12.1ms
video 1/1 (frame 86/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 3 persons, 12.2ms
video 1/1 (frame 87/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.1ms
video 1/1 (frame 88/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 5 persons, 12.2ms
video 1/1 (frame 89/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 5 persons, 12.1ms
video 1/1 (frame 90/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 14.3ms
video 1/1 (frame 91/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 5 persons, 12.3ms
video 1/1 (frame 92/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 5 persons, 12.2ms
video 1/1 (frame 93/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
video 1/1 (frame 94/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
video 1/1 (frame 95/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
video 1/1 (frame 96/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
video 1/1 (frame 97/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.1ms
video 1/1 (frame 98/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.1ms
video 1/1 (frame 99/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 3 persons, 12.1ms
video 1/1 (frame 100/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
video 1/1 (frame 101/1630) /scratch/network/db0197/LabelingProcess/Squash Data/elias_makin_london2025/rallies/rally6_v2.mp4: 384x640 4 persons, 12.2ms
